顏色	n	T	顏	色	Len<=2
條	n	F	條	條	Len<=2
的	uj	F	的	的	Len<=2
很	zg	F	很	很	Len<=2
不錯	adj	F	不	錯	Len<=2

紮紮實實	z	F	紮	實	Len>2
的	uj	F	的	的	Len<=2
全金屬	n	F	全	屬	Len>2
打造	v	F	打	造	Len<=2

充電	n	T	充	電	Len<=2
效率	n	T	效	率	Len<=2
變	v	F	變	變	Len<=2
高	adj	F	高	高	Len<=2

最好	a	F	最	好	Len<=2
握	v	F	握	握	Len<=2
的	uj	F	的	的	Len<=2
金屬機	n	T	金	機	Len>2

聲音	n	T	聲	音	Len<=2
通透	j	F	通	透	Len<=2
感	v	F	感	感	Len<=2
不錯	adj	F	不	錯	Len<=2

按鍵	n	T	按	鍵	Len<=2
回饋	v	F	回	饋	Len<=2
感	v	F	感	感	Len<=2
都	d	F	都	都	Len<=2
十分	m	F	十	分	Len<=2
清脆	a	F	清	脆	Len<=2
好	adj	F	好	好	Len<=2
按	p	F	按	按	Len<=2

按鍵	n	T	按	鍵	Len<=2
回饋	v	F	回	饋	Len<=2
感	v	F	感	感	Len<=2
都	d	F	都	都	Len<=2
十分	m	F	十	分	Len<=2
好	adj	F	好	好	Len<=2
按	p	F	按	按	Len<=2

介面	n	F	介	面	Len<=2
變	v	F	變	變	Len<=2
漂亮	adj	F	漂	亮	Len<=2

音樂	n	T	音	樂	Len<=2
也	d	F	也	也	Len<=2
變好	v	F	變	好	Len<=2
聽	v	F	聽	聽	Len<=2

記憶體	n	T	記	體	Len>2
卻	zg	F	卻	卻	Len<=2
提升	v	F	提	升	Len<=2
到	v	F	到	到	Len<=2
3GRam	NA	F	3	m	Len>2

順暢度	n	T	順	度	Len>2
是	v	F	是	是	Len<=2
絕對	d	F	絕	對	Len<=2
足夠	v	F	足	夠	Len<=2
的	uj	F	的	的	Len<=2

GPS	NA	F	G	S	Len>2
定位	n	F	定	位	Len<=2
也	d	F	也	也	Len<=2
是	v	F	是	是	Len<=2
秒	m	F	秒	秒	Len<=2
定	v	F	定	定	Len<=2

戶外	s	F	戶	外	Len<=2
拍攝	n	T	拍	攝	Len<=2
的	uj	F	的	的	Len<=2
水準	n	F	水	準	Len<=2
不錯	adj	F	不	錯	Len<=2

高	adj	F	高	高	Len<=2
光	n	F	光	光	Len<=2
低	a	F	低	低	Len<=2
光	n	F	光	光	Len<=2
都	d	F	都	都	Len<=2
有	v	F	有	有	Len<=2
