
防手震	ois,手振,光學防手震,光學防震,防手震,防抖,防震,數位防手震
自拍	自拍,自拍鏡頭,前相機,前置相機,前置鏡頭,前鏡,前鏡頭
拍照攝影	awb,bionz,bsi,ccd,cmos,f2.0光圈,hdr,iso,iso感光度,led閃光燈,pixel,pixelmaster,scn,subpixel,ultrapixel,wdr,手動模式,支援錄影,日拍,日間拍攝,水晶鏡頭,主相機,主相機鏡頭,光圈,全景,全景拍攝,自動場景,快門,快門速度,取景,夜拍,拍照,拍照介面,拍照功能,拍照後對焦,拍照效果,拍攝,拍攝介面,拍攝功能,拍攝模式,近拍,前後相機,後鏡頭,柔膚效果,相機,相機介面,相機功能,相機規格,相機鏡頭,美肌模式,美顏功能,美顏模式,捕捉,逆光,閃光,閃光燈,專業模式,旋轉鏡頭,場景模式,智慧場景,超廣角,感光,感光元件,感光度,照相,照像,補光,補光燈,慢動作錄影,廣角,錄影,錄影功能,雙鏡頭,曝光,曝光值,曝光補償,鏡頭,攝錄
對焦	光學變焦,自動對焦,快速對焦,相位對焦,雷射對焦,對焦,對焦速度,對焦模式,數位變焦,觸控對焦
設計質感	工藝,外形,外表,外型,外型設計,外殼,外觀,外觀設計,弧形,弧度,弧面,金屬材質,金屬感,金屬質感,金屬機,金屬機身,金屬機殼,金屬邊框,背殼,背蓋,做工,設計,設計感,造工,造形,造型,塑料,塑膠,塑膠殼,塑膠感,塑膠機身,膠殼,膠感,髮絲紋,觸感
體積重量	厚度,重量
音量	音量,聲量
音質	audio,bass,beat,boomsound,dolby,中音,中高音,立體,立體聲,低音,均衡器,杜比,重低音,重音,音色,音效,音效技術,音樂播放,音樂播放器,音質,音質表現,高低音,高音,高音質,揚聲,揚聲器,等化器,環繞立體聲,環繞聲
操作經驗	人性化,下載速度,方便性,功能性,存取速度,自由度,定位速度,易用性,流暢性,流暢度,速度感,順暢度,趣味性,操作介面,操作性,操作速度,操作體驗,操控性,整合性,整體,讀取速度
換電池	拆電池,換電池
續航力	mah,充好,充電,充電線,充電器,充飽,用電量,快充,快速充電,使用時間,待機,省電模式,耗電,耗電量,毫安培,電力,電池容量,電池續航力,電量,鋰電池,續航,續航力
機身發熱	手機溫度,溫度
螢幕尺寸	一手掌握,吋螢幕,單手,單手操作,螢幕尺寸
螢幕觸控	反映,反應,手勢操作,加速度感應器,接距感應器,敏感度,感測器,感應器,滑動,電阻式,電容式,磁力,觸控,觸控板,觸控螢幕
螢幕畫質	明暗,配色,彩度,量子面板,量子點螢幕,螢幕色,螢幕色溫,螢幕畫質,螢幕解析度,顯示效果
記憶體擴充	microsd,microsd卡,sd卡,記憶卡,記憶卡支援,記憶卡擴充,記憶體,記憶體容量,記憶體擴充,擴充
雙卡雙待	雙卡,雙卡雙待,雙卡機,雙待,雙卡版
性價比	性價比,cp值,超值
價位	coco,行情,定價,建議售價,售價,價位,價格,價錢
軟體問題	bug,fix,光斑,安全漏洞,故障,偏紫,軟體問題,紫光,紫斑,韌體,黑斑,漏洞
